Order_ID,Product_Type,Length_m,Color,Manufacturing_Cost_AED,Sale_Price_AED,Production_Date,Delivery_Date,Client_Region,Quality_Rating
101,Twisted Pair,188.86,Red,46.77,215.17,2021-04-11,2021-04-25,Abu Dhabi,3
102,Coaxial,161.85,Blue,263.91,405.4,2021-04-12,2021-04-26,Sharjah,1
103,Fiber Optic,129.79,Green,206.93,260.2,2021-04-13,2021-04-27,Ajman,2
104,Coaxial,176.11,Red,73.96,84.0,2021-04-14,2021-04-28,Dubai,2
105,Coaxial,65.67,Blue,277.07,422.98,2021-04-15,2021-04-29,Ras Al Khaimah,5
106,Fiber Optic,171.3,Black,182.31,405.71,2021-04-16,2021-04-30,Umm Al Quwain,1
107,Twisted Pair,127.4,White,147.65,281.75,2021-04-17,2021-05-01,Dubai,1
108,Twisted Pair,12.52,Red,199.86,54.36,2021-04-18,2021-05-02,Abu Dhabi,2
109,Twisted Pair,75.97,Blue,91.13,111.36,2021-04-19,2021-05-03,Abu Dhabi,5
110,Twisted Pair,38.15,Black,174.3,370.4,2021-04-20,2021-05-04,Ras Al Khaimah,3
111,Coaxial,196.55,White,56.93,315.89,2021-04-21,2021-05-05,Abu Dhabi,1
112,Twisted Pair,100.89,Black,76.14,365.02,2021-04-22,2021-05-06,Fujairah,2
113,Twisted Pair,104.5,Red,163.94,212.42,2021-04-23,2021-05-07,Sharjah,3
114,Twisted Pair,131.5,Blue,47.3,333.22,2021-04-24,2021-05-08,Abu Dhabi,3
115,Twisted Pair,80.03,Black,258.52,245.67,2021-04-25,2021-05-09,Fujairah,3
116,Twisted Pair,36.01,Black,130.75,236.21,2021-04-26,2021-05-10,Dubai,4
117,Fiber Optic,166.2,Black,85.26,236.76,2021-04-27,2021-05-11,Sharjah,3
118,Coaxial,46.07,Green,183.92,64.43,2021-04-28,2021-05-12,Fujairah,3
119,Twisted Pair,107.15,Black,229.11,77.45,2021-04-29,2021-05-13,Dubai,2
120,Twisted Pair,52.62,Blue,190.52,432.19,2021-04-30,2021-05-14,Ajman,5
121,Coaxial,28.59,Blue,182.12,362.99,2021-05-01,2021-05-15,Ajman,4
122,Twisted Pair,173.82,Blue,67.63,153.69,2021-05-02,2021-05-16,Sharjah,2
123,Coaxial,194.85,White,212.18,103.16,2021-05-03,2021-05-17,Fujairah,2
124,Fiber Optic,192.56,Black,293.5,68.32,2021-05-04,2021-05-18,Fujairah,3
125,Twisted Pair,182.25,Red,190.41,265.87,2021-05-05,2021-05-19,Umm Al Quwain,4
126,Twisted Pair,157.07,White,111.95,314.59,2021-05-06,2021-05-20,Dubai,5
127,Fiber Optic,73.3,Green,244.75,454.08,2021-05-07,2021-05-21,Umm Al Quwain,5
128,Twisted Pair,25.41,Blue,254.18,464.12,2021-05-08,2021-05-22,Ajman,2
129,Fiber Optic,87.38,Green,136.28,214.81,2021-05-09,2021-05-23,Ajman,4
130,Fiber Optic,54.12,White,136.37,468.88,2021-05-10,2021-05-24,Abu Dhabi,2
131,Twisted Pair,35.17,Green,282.25,295.6,2021-05-11,2021-05-25,Ras Al Khaimah,2
132,Fiber Optic,20.15,White,222.21,308.34,2021-05-12,2021-05-26,Ras Al Khaimah,5
133,Twisted Pair,147.86,Green,29.21,130.39,2021-05-13,2021-05-27,Ras Al Khaimah,5
134,Twisted Pair,12.17,Blue,139.26,102.14,2021-05-14,2021-05-28,Fujairah,2
135,Twisted Pair,156.41,Black,46.29,159.97,2021-05-15,2021-05-29,Ras Al Khaimah,5
136,Fiber Optic,37.92,Blue,293.99,105.93,2021-05-16,2021-05-30,Sharjah,5
137,Fiber Optic,25.11,Blue,181.06,150.48,2021-05-17,2021-05-31,Umm Al Quwain,3
138,Fiber Optic,27.02,Blue,200.23,292.92,2021-05-18,2021-06-01,Umm Al Quwain,3
139,Coaxial,137.69,Black,122.05,440.71,2021-05-19,2021-06-02,Ajman,1
140,Twisted Pair,56.62,Blue,206.96,407.74,2021-05-20,2021-06-03,Sharjah,1
141,Fiber Optic,89.9,White,180.12,64.56,2021-05-21,2021-06-04,Ras Al Khaimah,2
142,Coaxial,115.9,Green,236.91,364.35,2021-05-22,2021-06-05,Sharjah,2
143,Twisted Pair,173.5,Black,272.03,71.06,2021-05-23,2021-06-06,Abu Dhabi,2
144,Twisted Pair,148.14,Red,133.21,499.11,2021-05-24,2021-06-07,Ajman,2
145,Twisted Pair,61.36,White,270.7,402.85,2021-05-25,2021-06-08,Sharjah,5
146,Coaxial,34.98,Black,38.22,154.12,2021-05-26,2021-06-09,Umm Al Quwain,1
147,Fiber Optic,20.52,Green,211.93,270.55,2021-05-27,2021-06-10,Ajman,2
148,Fiber Optic,67.3,Black,84.7,384.85,2021-05-28,2021-06-11,Abu Dhabi,3
149,Fiber Optic,59.8,White,170.88,427.91,2021-05-29,2021-06-12,Ras Al Khaimah,5
150,Fiber Optic,96.67,White,236.45,152.99,2021-05-30,2021-06-13,Dubai,1
151,Twisted Pair,139.82,Red,229.04,110.28,2021-05-31,2021-06-14,Dubai,5
152,Twisted Pair,142.17,Blue,222.0,468.98,2021-06-01,2021-06-15,Dubai,4
153,Fiber Optic,63.87,Green,155.21,351.84,2021-06-02,2021-06-16,Sharjah,2
154,Fiber Optic,82.19,White,74.33,444.33,2021-06-03,2021-06-17,Sharjah,3
155,Fiber Optic,44.42,White,77.56,154.57,2021-06-04,2021-06-18,Sharjah,1
156,Coaxial,159.82,Green,169.93,107.91,2021-06-05,2021-06-19,Ajman,5
157,Twisted Pair,20.8,White,142.59,207.65,2021-06-06,2021-06-20,Fujairah,1
158,Fiber Optic,142.43,Red,293.0,163.71,2021-06-07,2021-06-21,Ajman,4
159,Fiber Optic,157.95,Red,104.23,82.74,2021-06-08,2021-06-22,Dubai,3
160,Coaxial,157.71,Blue,42.11,340.02,2021-06-09,2021-06-23,Fujairah,5
161,Fiber Optic,59.29,Black,223.53,163.05,2021-06-10,2021-06-24,Umm Al Quwain,4
162,Twisted Pair,81.02,Green,293.12,252.6,2021-06-11,2021-06-25,Abu Dhabi,3
163,Coaxial,121.64,Red,238.99,179.74,2021-06-12,2021-06-26,Fujairah,2
164,Coaxial,61.84,Red,89.17,464.54,2021-06-13,2021-06-27,Abu Dhabi,1
165,Coaxial,80.46,Red,30.24,252.59,2021-06-14,2021-06-28,Sharjah,4
166,Fiber Optic,47.44,Red,133.94,445.94,2021-06-15,2021-06-29,Dubai,1
167,Fiber Optic,97.37,Blue,265.77,69.81,2021-06-16,2021-06-30,Sharjah,1
168,Fiber Optic,18.48,White,140.96,291.11,2021-06-17,2021-07-01,Ajman,4
169,Coaxial,161.96,Red,99.54,253.73,2021-06-18,2021-07-02,Ras Al Khaimah,4
170,Coaxial,24.62,Blue,281.88,196.75,2021-06-19,2021-07-03,Sharjah,5
171,Twisted Pair,108.58,Black,236.23,185.09,2021-06-20,2021-07-04,Sharjah,3
172,Coaxial,68.29,White,191.08,170.05,2021-06-21,2021-07-05,Fujairah,2
173,Fiber Optic,119.73,Black,20.75,139.79,2021-06-22,2021-07-06,Abu Dhabi,3
174,Fiber Optic,192.29,White,280.82,271.68,2021-06-23,2021-07-07,Dubai,2
175,Coaxial,132.66,White,208.67,205.31,2021-06-24,2021-07-08,Sharjah,2
176,Twisted Pair,16.72,White,82.85,198.77,2021-06-25,2021-07-09,Sharjah,5
177,Coaxial,91.78,Blue,26.93,79.79,2021-06-26,2021-07-10,Abu Dhabi,3
178,Coaxial,106.9,Green,22.09,56.24,2021-06-27,2021-07-11,Ajman,4
179,Coaxial,111.87,Black,279.67,460.25,2021-06-28,2021-07-12,Umm Al Quwain,1
180,Fiber Optic,139.46,White,214.08,236.19,2021-06-29,2021-07-13,Ajman,5
181,Fiber Optic,62.74,White,217.44,354.67,2021-06-30,2021-07-14,Fujairah,5
182,Fiber Optic,34.48,Red,186.9,253.58,2021-07-01,2021-07-15,Abu Dhabi,5
183,Coaxial,84.61,Red,170.43,140.29,2021-07-02,2021-07-16,Sharjah,4
184,Twisted Pair,191.72,Blue,147.56,468.26,2021-07-03,2021-07-17,Ajman,1
185,Coaxial,45.55,White,188.05,105.2,2021-07-04,2021-07-18,Ajman,2
186,Coaxial,181.76,Black,203.14,266.62,2021-07-05,2021-07-19,Dubai,4
187,Fiber Optic,113.32,Black,124.45,91.28,2021-07-06,2021-07-20,Dubai,3
188,Fiber Optic,96.81,Red,207.11,153.17,2021-07-07,2021-07-21,Ras Al Khaimah,3
189,Coaxial,177.59,Red,147.93,358.44,2021-07-08,2021-07-22,Umm Al Quwain,4
190,Twisted Pair,97.13,Green,43.82,286.89,2021-07-09,2021-07-23,Fujairah,5
191,Fiber Optic,147.59,White,85.29,297.52,2021-07-10,2021-07-24,Ajman,4
192,Twisted Pair,85.81,White,42.78,424.51,2021-07-11,2021-07-25,Ajman,1
193,Twisted Pair,181.77,Red,110.16,77.35,2021-07-12,2021-07-26,Abu Dhabi,2
194,Coaxial,141.1,Red,191.17,457.17,2021-07-13,2021-07-27,Dubai,2
195,Coaxial,142.93,Red,122.94,343.05,2021-07-14,2021-07-28,Umm Al Quwain,2
196,Coaxial,72.27,Green,223.34,338.41,2021-07-15,2021-07-29,Dubai,2
197,Twisted Pair,153.79,Green,209.86,63.59,2021-07-16,2021-07-30,Ajman,5
198,Fiber Optic,130.85,Green,60.51,459.53,2021-07-17,2021-07-31,Umm Al Quwain,3
199,Fiber Optic,55.6,White,67.05,62.59,2021-07-18,2021-08-01,Fujairah,3
200,Coaxial,40.5,Green,38.04,133.45,2021-07-19,2021-08-02,Ajman,4
201,Fiber Optic,161.31,White,94.01,453.16,2021-07-20,2021-08-03,Sharjah,2
202,Twisted Pair,192.24,Red,117.54,107.03,2021-07-21,2021-08-04,Dubai,3
203,Twisted Pair,97.05,White,44.71,229.09,2021-07-22,2021-08-05,Dubai,1
204,Fiber Optic,122.29,Black,188.62,392.02,2021-07-23,2021-08-06,Abu Dhabi,4
205,Twisted Pair,172.97,Blue,220.03,303.33,2021-07-24,2021-08-07,Umm Al Quwain,5
206,Twisted Pair,96.87,Red,64.02,378.72,2021-07-25,2021-08-08,Fujairah,3
207,Twisted Pair,190.86,Black,115.8,136.78,2021-07-26,2021-08-09,Abu Dhabi,2
208,Coaxial,119.39,Blue,223.63,235.42,2021-07-27,2021-08-10,Dubai,5
209,Coaxial,165.95,Black,205.73,274.27,2021-07-28,2021-08-11,Ras Al Khaimah,1
210,Fiber Optic,182.68,Blue,259.25,159.63,2021-07-29,2021-08-12,Fujairah,1
211,Fiber Optic,164.95,Blue,175.29,499.06,2021-07-30,2021-08-13,Ajman,1
212,Fiber Optic,40.29,Green,27.21,352.0,2021-07-31,2021-08-14,Ajman,5
213,Twisted Pair,129.49,Black,36.05,447.7,2021-08-01,2021-08-15,Ras Al Khaimah,3
214,Twisted Pair,85.7,Black,42.42,226.84,2021-08-02,2021-08-16,Umm Al Quwain,3
215,Coaxial,21.92,Red,164.8,466.18,2021-08-03,2021-08-17,Fujairah,2
216,Coaxial,90.57,White,231.43,163.23,2021-08-04,2021-08-18,Sharjah,5
217,Fiber Optic,59.15,Black,29.04,121.05,2021-08-05,2021-08-19,Ajman,3
218,Fiber Optic,171.32,Black,147.87,404.09,2021-08-06,2021-08-20,Umm Al Quwain,4
219,Twisted Pair,16.33,Red,250.94,487.86,2021-08-07,2021-08-21,Abu Dhabi,2
220,Coaxial,192.21,Red,207.21,77.92,2021-08-08,2021-08-22,Ajman,3
221,Coaxial,77.52,Green,172.86,95.0,2021-08-09,2021-08-23,Ajman,4
222,Twisted Pair,77.77,White,184.87,193.05,2021-08-10,2021-08-24,Sharjah,2
223,Fiber Optic,13.1,White,271.01,286.68,2021-08-11,2021-08-25,Ajman,1
224,Coaxial,45.19,Green,181.02,366.92,2021-08-12,2021-08-26,Abu Dhabi,1
225,Coaxial,86.24,Red,138.11,480.0,2021-08-13,2021-08-27,Abu Dhabi,4
226,Coaxial,186.57,Red,216.83,103.02,2021-08-14,2021-08-28,Ras Al Khaimah,1
227,Coaxial,28.93,Red,120.02,210.34,2021-08-15,2021-08-29,Abu Dhabi,4
228,Coaxial,189.61,Black,292.42,169.83,2021-08-16,2021-08-30,Ras Al Khaimah,2
229,Twisted Pair,175.2,White,264.24,413.34,2021-08-17,2021-08-31,Dubai,3
230,Twisted Pair,96.29,White,63.86,123.6,2021-08-18,2021-09-01,Ajman,2
231,Twisted Pair,72.07,Blue,211.56,444.58,2021-08-19,2021-09-02,Ajman,4
232,Fiber Optic,54.22,Blue,29.54,398.17,2021-08-20,2021-09-03,Fujairah,5
233,Coaxial,126.75,Black,267.86,447.72,2021-08-21,2021-09-04,Sharjah,5
234,Twisted Pair,16.28,Black,256.56,486.13,2021-08-22,2021-09-05,Dubai,4
235,Coaxial,12.97,White,162.84,308.05,2021-08-23,2021-09-06,Ras Al Khaimah,1
236,Coaxial,91.47,Blue,55.75,256.29,2021-08-24,2021-09-07,Ajman,4
237,Coaxial,22.93,Green,194.01,268.26,2021-08-25,2021-09-08,Abu Dhabi,3
238,Coaxial,57.87,Red,87.01,452.98,2021-08-26,2021-09-09,Dubai,2
239,Fiber Optic,52.02,White,196.64,143.91,2021-08-27,2021-09-10,Umm Al Quwain,4
240,Twisted Pair,58.11,Green,214.25,218.91,2021-08-28,2021-09-11,Umm Al Quwain,3
241,Twisted Pair,34.9,Black,49.75,338.51,2021-08-29,2021-09-12,Dubai,5
242,Fiber Optic,12.29,Red,153.54,372.21,2021-08-30,2021-09-13,Ras Al Khaimah,4
243,Coaxial,31.94,Black,183.97,75.37,2021-08-31,2021-09-14,Abu Dhabi,1
244,Coaxial,127.51,Blue,91.02,490.17,2021-09-01,2021-09-15,Umm Al Quwain,4
245,Fiber Optic,195.11,Green,76.28,199.15,2021-09-02,2021-09-16,Fujairah,5
246,Fiber Optic,198.17,Red,198.6,142.73,2021-09-03,2021-09-17,Ras Al Khaimah,3
247,Fiber Optic,87.72,Red,233.01,188.23,2021-09-04,2021-09-18,Umm Al Quwain,4
248,Twisted Pair,40.96,Black,120.55,493.15,2021-09-05,2021-09-19,Ajman,4
249,Coaxial,131.36,White,218.49,350.86,2021-09-06,2021-09-20,Sharjah,1
250,Twisted Pair,103.16,Green,184.47,160.38,2021-09-07,2021-09-21,Fujairah,4
